customer_id,signup_date,plan,industry,region,mrr,acv,seats,contract_type,churn,churn_date,nps_score,health_score,feature_adoption_pct,monthly_logins,support_tickets_30d,api_calls_30d,expansion_mrr,sales_rep,cs_tier,payment_method,acquisition_channel
CUST-00793,01/06/2022,Business,Cybersecurity,Asia-Pacific,275.07,2805.71,44,Monthly,0,,82.0,46.48,30.4,7.4,12,1092,0.0,Carol Singh,Gold,PayPal,Paid Search
CUST-01777,"October 02, 2021",Starter,EdTech,Europe,30.11,361.32,5,Annual,0,,57.0,26.65,33.3,0.3,29,2962,0.0,Bob Martinez,Bronze,Credit Card,Paid Search
CUST-01877,09-04-2022,Starter,HealthTech,North America,28.62,291.92,1,Monthly,0,,40.0,36.04,27.7,13.5,29,80,0.0,Alice Chen,Bronze,PayPal,Paid Search
CUST-01657,26/09/2022,Free,MarTech,  Latin America  ,0,0.0,3,Monthly,0,,-68.0,31.8,29.3,12.2,18,615,0.0,N/A,Bronze,PayPal,Referral
CUST-00539,"February 16, 2023",Enterprise,FinTech,Latin America,1010.15,12121.8,185,Annual,0,,-6.0,54.34,82.2,5.8,8,70,0.0,Alice Chen,Platinum,PayPal,Direct
CUST-00544,2023-08-22,Growth,HealthTech,Europe,102.19,1042.34,9,Monthly,0,,82.0,35.67,14.1,12.3,28,259,0.0,Carol Singh,Bronze,Credit Card,Referral
CUST-01125,"May 31, 2023",Free,Cybersecurity,  Europe  ,0,0.0,1,Annual,0,,-72.0,24.05,14.6,0.9,6,1430,0.0,N/A,Bronze,Credit Card,Product Hunt
CUST-01786,13/01/2023,Enterprise,FinTech,North America,984.64,11815.68,342,Annual,1,2024-01-07,24.0,36.15,44.8,1.7,17,3573,0.0,Alice Chen,Gold,Credit Card,Paid Search
CUST-01968,2023-05-26,Business,FinTech,Europe,305.78,3669.36,32,Annual,0,,-95.0,27.19,37.2,6.4,16,1984,0.0,Bob Martinez,Silver,Invoice,Organic Search
CUST-00030,2021-07-29,Growth,HealthTech,North America,104.77,1257.24,14,Annual,0,,6.0,49.73,18.5,22.3,12,7998,49.31,Bob Martinez,Silver,Credit Card,Partner
CUST-01068,2021-10-24,Starter,LegalTech,North America,28.43,341.16,1,Annual,0,,,0.0,25.1,10.1,13,24,0.0,N/A,Bronze,PayPal,Direct
CUST-01448,10-26-2023,Growth,Logistics,North America,99.94,1019.39,7,Monthly,1,2024-02-20,28.0,71.5,40.1,31.0,5,925,0.0,N/A,Bronze,Credit Card,Partner
CUST-00808,2022-02-21,Starter,FinTech,Europe,27.39,279.38,5,Monthly,1,2023-04-09,-23.0,58.77,25.8,31.0,10,1182,0.0,Alice Chen,Bronze,Invoice,Organic Search
CUST-01320,2023-11-05,Growth,Real Estate,North America,103.83,1059.07,10,Monthly,0,,-76.0,17.65,31.6,3.9,27,6782,0.0,Bob Martinez,Bronze,Credit Card,Social Media
CUST-00057,"January 29, 2023",Growth,LegalTech,North America,94.0,1128.0,11,Annual,0,,-47.0,47.32,37.6,11.1,0,1915,0.0,Alice Chen,Bronze,Credit Card,Organic Search
CUST-00520,2023-08-16,Free,MarTech,North America,0,0.0,3,Monthly,0,,9.0,33.01,23.2,0.5,8,1146,0.0,N/A,Bronze,PayPal,Organic Search
CUST-00938,2022-12-09,Free,HealthTech,North America,0,0.0,2,Annual,1,2024-05-28,66.0,68.69,49.2,31.0,19,52332,0.0,N/A,Bronze,PayPal,Direct
CUST-01365,"September 22, 2021",Starter,HR Tech,North America,26.9,274.38,1,Monthly,0,,53.0,30.37,18.7,8.4,28,920,0.0,Alice Chen,Bronze,Credit Card,Email Campaign
CUST-00252,27/04/2022,Free,HealthTech,North America,0,0.0,1,Annual,0,,,0.0,24.2,8.9,1,781,0.0,N/A,Bronze,Bank Transfer,Direct
CUST-00100,2021-11-24,Starter,E-Commerce,North America,28.35,340.2,1,Annual,0,,,0.0,14.6,6.1,23,541,0.0,N/A,Bronze,PayPal,Direct
CUST-01511,2022-06-04,Enterprise,EdTech,Middle East & Africa,1032.92,27269.09,262,Multi-Year,1,2023-08-26,13.0,31.23,30.1,3.0,18,2677,0.0,Frank Osei,Gold,Credit Card,Referral
CUST-00825,08-29-2021,Enterprise,LegalTech,Europe,1022.29,26988.46,256,Multi-Year,0,,-69.0,29.77,44.1,7.0,20,390,0.0,Grace Liu,Platinum,PayPal,Social Media
CUST-00299,"March 08, 2022",Starter,HealthTech,  Latin America  ,28.11,337.32,4,Annual,0,,-6.0,43.05,42.1,4.5,5,57,0.0,Alice Chen,Bronze,PayPal,Referral
CUST-01553,06-20-2023,Starter,Logistics,North America,29.72,303.14,1,Monthly,1,2023-11-15,51.0,70.7,60.9,31.0,19,202,0.0,Carol Singh,Bronze,Bank Transfer,Organic Search
CUST-00423,08-28-2023,Enterprise,HR Tech,North America,988.26,26090.06,31,Multi-Year,0,,-35.0,31.01,13.9,10.0,14,1969,0.0,David Kim,Platinum,Credit Card,Direct
CUST-01281,11/11/2023,Business,HR Tech,Europe,307.18,3686.16,46,Annual,0,,-89.0,41.69,70.0,4.4,7,10338,0.0,David Kim,Gold,PayPal,
CUST-01522,"November 25, 2022",Free,E-Commerce,North America,0,0.0,1,Monthly,1,2023-12-17,-68.0,37.24,20.9,10.1,3,769,0.0,N/A,Bronze,Credit Card,Direct
CUST-01858,2021-05-08,Business,Cybersecurity,Asia-Pacific,321.74,3860.88,9,Annual,0,,97.0,53.47,48.7,1.2,3,369,0.0,Frank Osei,Silver,Credit Card,Direct
CUST-00765,12/02/2021,Free,HealthTech,Europe,0,0.0,2,Annual,0,,-75.0,27.6,11.2,1.8,0,555,0.0,N/A,Bronze,Credit Card,Organic Search
CUST-01541,06-03-2022,Free,Logistics,North America,0,0.0,3,Annual,0,,-77.0,48.38,66.2,14.0,11,1164,0.0,N/A,Bronze,Credit Card,Referral
CUST-00496,02/05/2023,Growth,HealthTech,North America,86.48,1037.76,10,Annual,0,,,0.0,43.9,13.2,6,2232,21.36,Alice Chen,Bronze,Bank Transfer,Partner
CUST-01287,30/07/2021,Free,LegalTech,North America,0,0.0,2,Monthly,0,,,0.0,11.8,2.4,2,485,0.0,N/A,Bronze,Credit Card,Organic Search
CUST-00987,2022-08-28,Growth,LegalTech,  North America  ,97.75,1173.0,6,Annual,0,,-6.0,27.29,24.6,1.9,17,465,14.71,Alice Chen,Bronze,Bank Transfer,Direct
CUST-00071,"April 25, 2021",Starter,LegalTech,Latin America,29.18,350.16,4,Annual,0,,88.0,58.87,36.5,17.0,11,2531,0.0,David Kim,Bronze,Bank Transfer,Organic Search
CUST-00276,13/03/2022,Free,MarTech,North America,0,0.0,2,Monthly,0,,,0.0,59.5,12.6,22,816,0.0,N/A,Bronze,Bank Transfer,Organic Search
CUST-01795,18/07/2021,Starter,Cybersecurity,Asia-Pacific,29.48,300.7,1,Monthly,0,,-10.0,39.75,7.3,11.6,4,311,0.0,Carol Singh,Bronze,Credit Card,Organic Search
CUST-01948,07-20-2023,Free,EdTech,North America,0,0.0,3,Annual,0,,-75.0,27.05,28.3,10.4,21,243,0.0,N/A,Bronze,Credit Card,Email Campaign
CUST-00066,08-05-2023,Business,MarTech,Asia-Pacific,287.05,3444.6,19,Annual,0,,80.0,28.01,0.5,9.5,29,998,0.0,Carol Singh,Silver,PayPal,Partner
CUST-00586,30/11/2022,Growth,Real Estate,Asia-Pacific,104.3,1251.6,6,Annual,0,,84.0,23.52,14.8,0.7,30,1695,0.0,Alice Chen,Bronze,Credit Card,Email Campaign
CUST-01108,05-31-2021,Starter,Real Estate,North America,27.6,331.2,3,Annual,0,,-4.0,35.86,78.5,2.8,30,2148,0.0,Carol Singh,Bronze,PayPal,Social Media
CUST-01248,02-08-2021,Starter,E-Commerce,North America,27.89,284.48,4,Monthly,0,,-21.0,46.7,48.3,7.9,5,5139,0.0,Alice Chen,Bronze,PayPal,
CUST-01230,08/06/2022,Growth,LegalTech,North America,102.38,1044.28,8,Monthly,0,,72.0,40.6,27.5,0.5,8,665,0.0,Alice Chen,Bronze,Credit Card,Social Media
CUST-00395,2022-11-08,Starter,Cybersecurity,Europe,28.06,286.21,4,Monthly,0,,-14.0,44.12,19.0,12.9,4,2035,0.0,David Kim,Bronze,Invoice,Direct
CUST-01502,"December 14, 2023",Business,Real Estate,Latin America,307.7,3138.54,15,Monthly,0,,-37.0,42.01,35.9,5.1,0,5666,0.0,Eva Rossi,Silver,Invoice,Referral
CUST-01493,"January 04, 2021",Free,FinTech,North America,0,0.0,3,Monthly,0,,56.0,51.05,32.3,9.4,5,432,0.0,N/A,Bronze,Bank Transfer,Referral
CUST-00112,"August 17, 2021",Free,LegalTech,Europe,0,0.0,2,Monthly,0,,-5.0,59.65,70.3,19.7,15,6029,0.0,N/A,Bronze,Invoice,Organic Search
CUST-00353,2022-04-01,Growth,E-Commerce,Europe,94.59,1135.08,4,Annual,0,,0.0,52.15,29.9,27.4,20,726,0.0,David Kim,Bronze,PayPal,Organic Search
CUST-01134,2022-10-03,Growth,EdTech,Europe,95.43,1145.16,11,Annual,0,,-51.0,36.11,27.9,5.0,3,140,0.0,Carol Singh,Silver,PayPal,Referral
CUST-00858,2022-10-22,Growth,LegalTech,North America,92.25,940.95,7,Monthly,0,,16.0,48.7,38.4,22.3,24,7874,0.0,Bob Martinez,Bronze,PayPal,Organic Search
CUST-00675,"April 04, 2021",Free,Real Estate,Europe,0,0.0,3,Monthly,0,,3.0,41.46,55.3,6.1,17,7262,0.0,N/A,Bronze,Credit Card,Referral
CUST-00571,08/02/2023,Growth,LegalTech,Asia-Pacific,101.54,1035.71,6,Monthly,0,,32.0,74.82,58.4,24.9,0,495,0.0,Carol Singh,Silver,,Social Media
CUST-00923,"February 23, 2023",Free,Logistics,Middle East & Africa,0,0.0,3,Monthly,1,2023-10-01,-19.0,24.09,46.6,0.7,28,1663,0.0,N/A,Bronze,Credit Card,Organic Search
CUST-01403,17/01/2023,Growth,Logistics,North America,95.91,1150.92,9,Annual,0,,-79.0,26.38,27.4,4.2,12,248,16.2,Bob Martinez,Bronze,Bank Transfer,Paid Search
CUST-01171,2023-05-29,Free,EdTech,  Europe  ,0,0.0,3,Monthly,0,,-6.0,31.72,7.8,17.2,25,1272,0.0,N/A,Bronze,Credit Card,Direct
CUST-01808,2021-10-08,Starter,E-Commerce,Latin America,29.99,359.88,5,Annual,0,,99.0,63.14,72.6,2.2,1,6488,0.0,Carol Singh,Bronze,PayPal,Email Campaign
CUST-01658,2023-03-27,Business,EdTech,North America,301.75,3621.0,12,Annual,0,,67.0,44.91,30.8,1.0,3,257,0.0,Alice Chen,Gold,Bank Transfer,Organic Search
CUST-00412,01/01/2021,Growth,MarTech,Latin America,102.93,1049.89,7,Monthly,1,2021-07-08,36.0,60.97,64.4,15.9,11,771,0.0,Alice Chen,Silver,Credit Card,Social Media
CUST-01442,2023-07-13,Enterprise,HealthTech,Asia-Pacific,1008.85,26633.64,23,Multi-Year,0,,-2.0,42.77,63.9,11.5,26,20,0.0,Frank Osei,Platinum,Bank Transfer,Product Hunt
CUST-00536,07-21-2023,Business,E-Commerce,Europe,267.07,2724.11,9,Monthly,1,2024-08-28,-93.0,32.78,9.1,13.8,6,955,0.0,Eva Rossi,Gold,Credit Card,Partner
CUST-01335,"October 31, 2023",Starter,E-Commerce,Europe,28.18,287.44,4,Monthly,1,2025-04-01,66.0,71.54,80.9,31.0,29,1247,0.0,Alice Chen,Bronze,Credit Card,
CUST-01456,2022-10-15,Free,LegalTech,Europe,0,0.0,2,Monthly,1,2023-07-21,-47.0,41.93,41.9,10.4,9,378,0.0,N/A,Bronze,Credit Card,Referral
CUST-01000,2021-09-11,Starter,Cybersecurity,North America,29.94,359.28,3,Annual,0,,63.0,75.06,81.8,20.2,8,3945,0.0,Alice Chen,Bronze,Credit Card,Social Media
CUST-00070,"October 27, 2022",Enterprise,Logistics,Latin America,951.38,25116.43,116,Multi-Year,1,2023-01-13,-71.0,36.59,49.1,6.5,11,1141,0.0,Frank Osei,Gold,Credit Card,Organic Search
CUST-01030,"November 13, 2021",Enterprise,LegalTech,North America,1037.91,27400.82,429,Multi-Year,1,2022-07-16,-80.0,56.87,44.9,29.0,10,486,0.0,Bob Martinez,Gold,Credit Card,Social Media
CUST-00882,"April 20, 2023",Business,E-Commerce,North America,280.31,3363.72,40,Annual,0,,17.0,48.47,42.2,7.0,4,697,0.0,Bob Martinez,Silver,Credit Card,Paid Search
CUST-00745,2021-12-06,Starter,Cybersecurity,Europe,30.07,306.71,1,Monthly,0,,58.0,40.24,30.5,3.4,12,6944,0.0,Alice Chen,Bronze,PayPal,Direct
CUST-01946,18/11/2022,Starter,REAL ESTATE,North America,28.15,287.13,4,Monthly,0,,9.0,,23.6,0.7,20,10576,11.33,Carol Singh,Bronze,Credit Card,Organic Search
CUST-01250,09/06/2021,Growth,FinTech,  Asia-Pacific  ,103.25,1239.0,6,Annual,0,,17.0,40.43,25.1,4.0,4,1934,0.0,N/A,Bronze,Credit Card,Organic Search
CUST-01513,2023-01-02,Starter,MarTech,Europe,28.52,342.24,2,Annual,1,2023-08-19,56.0,54.41,71.1,3.6,9,810,0.0,Bob Martinez,Bronze,PayPal,Partner
CUST-01345,03/02/2023,Starter,FinTech,North America,25.18,302.16,2,Annual,0,,97.0,50.75,30.8,6.0,6,5519,0.0,Bob Martinez,Bronze,,Organic Search
CUST-01730,2023-03-28,Growth,Cybersecurity,Europe,97.86,1174.32,13,Annual,0,,-10.0,41.67,31.3,15.1,17,65,0.0,Alice Chen,Bronze,Bank Transfer,Direct
CUST-00589,10-01-2023,Business,HR Tech,North America,296.56,3558.72,38,Annual,0,,-54.0,19.32,19.2,6.5,26,968,0.0,David Kim,Gold,Credit Card,Referral
CUST-00721,06-03-2021,Growth,Cybersecurity,Middle East & Africa,93.69,955.64,9,Monthly,1,2022-01-11,12.0,54.03,56.2,10.3,6,33232,0.0,David Kim,Silver,PayPal,Direct
CUST-01290,02-09-2022,Starter,Cybersecurity,North America,29.48,300.7,2,Monthly,0,,18.0,28.6,37.1,3.1,26,135,0.0,N/A,Bronze,Credit Card,Paid Search
CUST-01741,2022-05-23,Starter,LegalTech,Middle East & Africa,29.59,301.82,5,Monthly,1,2023-06-04,-27.0,27.72,9.3,1.0,5,736,0.0,Bob Martinez,Bronze,Credit Card,Social Media
CUST-01252,05-30-2023,Starter,FinTech,North America,28.44,290.09,5,Monthly,0,,14.0,,41.0,31.0,14,387,0.0,N/A,Bronze,Credit Card,Product Hunt
CUST-01088,09-03-2023,Starter,Logistics,North America,31.22,318.44,2,Monthly,0,,73.0,55.24,34.1,12.1,6,1954,0.0,Alice Chen,Bronze,PayPal,Organic Search
CUST-01914,07-25-2021,Free,LegalTech,North America,0,0.0,2,Monthly,0,,-6.0,26.75,20.0,1.4,15,678,0.0,N/A,Bronze,Bank Transfer,Paid Search
CUST-01546,04-08-2021,Growth,EdTech,North America,104.17,1250.04,15,Annual,0,,83.0,43.99,35.5,5.9,16,56,0.0,N/A,Silver,Invoice,Social Media
CUST-01375,01-12-2023,Growth,HR Tech,Europe,100.93,1029.49,8,Monthly,0,,-48.0,48.92,47.8,15.2,8,1278,21.25,N/A,Bronze,Bank Transfer,Paid Search
CUST-00874,2022-11-11,Enterprise,FinTech,Asia-Pacific,1022.6,12271.2,288,Annual,0,,-69.0,54.79,32.3,31.0,12,1600,0.0,Carol Singh,Gold,Credit Card,Organic Search
CUST-01942,03-18-2021,Enterprise,HR Tech,Latin America,1065.22,12782.64,205,Annual,0,,-95.0,50.62,40.4,31.0,18,10700,0.0,Frank Osei,Gold,Credit Card,Direct
CUST-01011,30/03/2022,Enterprise,Logistics,Asia-Pacific,1154.34,13852.08,308,Annual,0,,-30.0,25.53,26.4,2.7,18,683,0.0,Frank Osei,Gold,PayPal,Organic Search
CUST-00487,19/04/2022,Growth,HR Tech,Europe,96.66,985.93,11,Monthly,0,,5.0,55.13,90.2,3.0,8,229,0.0,Alice Chen,Bronze,Credit Card,Email Campaign
CUST-00129,12-23-2023,Growth,FinTech,North America,101.87,1222.44,4,Annual,0,,-59.0,45.48,50.8,9.1,4,981,0.0,Carol Singh,Bronze,Credit Card,Paid Search
CUST-01552,"March 31, 2023",Starter,E-Commerce,North America,31.22,318.44,3,Monthly,0,,-78.0,26.7,58.6,4.4,26,5782,0.0,David Kim,Bronze,Bank Transfer,Organic Search
CUST-01683,"October 23, 2022",Growth,MarTech,Europe,100.95,1029.69,15,Monthly,0,,-59.0,56.58,12.7,31.0,2,1975,0.0,David Kim,Bronze,Bank Transfer,Partner
CUST-01490,22/10/2021,Free,Cybersecurity,North America,0,0.0,1,Annual,0,,-13.0,50.39,63.3,8.3,8,7043,0.0,N/A,Bronze,Credit Card,Organic Search
CUST-01527,"October 04, 2021",Free,EdTech,Asia-Pacific,0,0.0,2,Monthly,0,,23.0,30.63,12.8,1.2,10,3477,0.0,N/A,Bronze,Invoice,Referral
CUST-01645,09-06-2021,Growth,E-Commerce,Europe,101.95,1039.89,7,Monthly,0,,,0.0,51.5,1.3,9,443,0.0,Alice Chen,Bronze,Credit Card,Social Media
CUST-00362,2023-03-28,Free,FinTech,North America,0,0.0,1,Monthly,0,,,0.0,17.9,9.8,17,1634,0.0,N/A,Bronze,Credit Card,Organic Search
CUST-01622,2022-06-18,Free,MarTech,North America,0,0.0,3,Monthly,0,,52.0,51.99,33.2,16.7,14,321,0.0,N/A,Bronze,PayPal,Email Campaign
CUST-01977,10-25-2022,Growth,E-Commerce,Europe,94.23,1130.76,5,Annual,0,,83.0,43.38,18.7,2.9,5,326,0.0,Bob Martinez,Bronze,,Organic Search
CUST-00257,2021-06-17,Starter,LegalTech,Asia-Pacific,29.1,296.82,4,Monthly,1,2021-12-09,-36.0,39.53,1.8,13.7,1,144,0.0,Alice Chen,Bronze,Credit Card,Product Hunt
CUST-01262,"January 12, 2023",Free,E-Commerce,Europe,0,0.0,1,Monthly,1,2023-09-17,-56.0,23.17,34.5,8.7,30,268,0.0,N/A,Bronze,Invoice,Organic Search
CUST-01193,11-30-2022,Starter,EdTech,North America,28.27,288.35,5,Monthly,0,,3.0,33.8,29.0,8.4,20,19,0.0,Bob Martinez,Bronze,Credit Card,Organic Search
CUST-00545,09/02/2021,Starter,logistics,  Latin America  ,29.81,304.06,4,Monthly,0,,8.0,33.68,51.5,6.3,28,1849,0.0,Carol Singh,Bronze,Credit Card,Social Media
CUST-00343,01-03-2022,Free,HealthTech,North America,0,0.0,3,Monthly,0,,68.0,41.02,30.4,9.4,21,73,0.0,N/A,Bronze,Credit Card,Direct
CUST-01945,08-08-2021,Free,LegalTech,North America,0,0.0,1,Monthly,1,2022-12-19,-83.0,20.07,36.1,0.9,20,4854,0.0,N/A,Bronze,PayPal,Paid Search
CUST-00671,"January 29, 2021",Growth,MarTech,Middle East & Africa,100.31,1203.72,4,Annual,0,,36.0,38.85,21.2,2.3,5,168,0.0,Alice Chen,Silver,Credit Card,Paid Search
CUST-01062,03-19-2022,Starter,MarTech,Asia-Pacific,28.24,288.05,3,Monthly,1,2022-07-20,59.0,41.5,29.2,5.0,12,4507,0.0,Bob Martinez,Bronze,Credit Card,Email Campaign
CUST-01575,"May 23, 2023",Business,HR Tech,Latin America,317.4,8379.36,15,Multi-Year,0,,-69.0,31.65,54.5,0.9,13,7036,0.0,David Kim,Silver,Credit Card,Paid Search
CUST-01829,01-25-2023,Growth,LegalTech,Asia-Pacific,94.6,964.92,4,Monthly,1,2023-04-30,-74.0,50.98,45.7,31.0,23,1229,0.0,Carol Singh,Silver,Credit Card,Organic Search
CUST-00308,"May 18, 2023",Free,FinTech,Europe,0,0.0,1,Monthly,0,,,0.0,39.6,20.1,22,2943,0.0,N/A,Bronze,Credit Card,Organic Search
CUST-01324,2023-07-11,Business,HR Tech,Latin America,280.38,3364.56,33,Annual,0,,-17.0,61.0,29.0,31.0,9,1016,0.0,Carol Singh,Gold,Bank Transfer,Partner
CUST-00766,06/07/2022,Free,Real Estate,Middle East & Africa,0,0.0,1,Monthly,0,,-7.0,48.55,26.4,31.0,28,135,0.0,N/A,Bronze,Credit Card,Social Media
CUST-01420,2023-12-17,Business,LegalTech,North America,300.23,3062.35,13,Monthly,1,2024-05-02,,0.0,52.5,15.3,3,810,0.0,Grace Liu,Silver,Credit Card,Organic Search
CUST-01387,06-08-2021,Growth,E-Commerce,Europe,98.79,1007.66,12,Monthly,0,,-48.0,41.98,88.6,0.9,16,3885,0.0,Alice Chen,Silver,Credit Card,Organic Search
CUST-00234,01-24-2022,Starter,HR Tech,Asia-Pacific,27.64,281.93,4,Monthly,0,,93.0,51.29,37.0,2.3,2,3069,0.0,Alice Chen,Bronze,Credit Card,Referral
CUST-00232,24/09/2023,Growth,Cybersecurity,Asia-Pacific,102.05,1224.6,15,Annual,0,,34.0,51.62,76.9,6.7,17,169,37.99,N/A,Bronze,PayPal,Referral
CUST-01809,"November 14, 2022",Enterprise,E-Commerce,Asia-Pacific,1091.34,28811.38,447,Multi-Year,0,,28.0,53.98,40.3,14.9,8,359,0.0,Bob Martinez,Gold,Credit Card,Paid Search
CUST-00556,04/05/2022,Business,LegalTech,North America,255.04,6733.06,27,Multi-Year,0,,1.0,35.39,31.6,6.0,15,261,0.0,Frank Osei,Silver,Credit Card,Social Media
CUST-01879,2022-09-02,Starter,Logistics,Europe,28.17,287.33,2,Monthly,0,,43.0,63.64,17.8,31.0,9,387,0.0,Bob Martinez,Bronze,Credit Card,Referral
CUST-00889,14/06/2021,Growth,Real Estate,Asia-Pacific,98.67,1006.43,5,Monthly,0,,13.0,44.11,25.5,7.4,3,2502,0.0,N/A,Bronze,PayPal,Referral
CUST-01044,"January 23, 2023",Business,Cybersecurity,North America,294.61,3535.32,21,Annual,0,,-40.0,24.37,17.3,2.6,14,1456,0.0,Bob Martinez,Gold,Bank Transfer,Paid Search
CUST-01602,11/07/2023,Business,E-Commerce,Europe,296.74,3026.75,11,Monthly,0,,67.0,38.01,14.3,4.5,11,667,67.89,Carol Singh,Gold,Credit Card,Social Media
CUST-00807,2021-04-16,Starter,MarTech,Europe,29.81,357.72,2,Annual,1,2021-10-11,98.0,36.32,48.7,0.6,28,2786,0.0,Alice Chen,Bronze,Credit Card,Paid Search
CUST-00716,06-26-2022,Business,healthtech,North America,314.53,3208.21,14,Monthly,1,2023-07-19,-71.0,60.45,27.4,31.0,1,1591,0.0,Eva Rossi,Gold,Credit Card,Referral
CUST-00355,"August 01, 2023",Free,E-Commerce,Europe,0,0.0,1,Annual,0,,57.0,69.48,85.4,10.5,3,1577,0.0,N/A,Bronze,Bank Transfer,Organic Search
CUST-01019,"March 18, 2021",Starter,Real Estate,North America,31.6,379.2,2,Annual,1,2021-06-10,-87.0,5.82,14.1,0.3,30,1977,0.0,Bob Martinez,Bronze,PayPal,Referral
CUST-01734,2021-08-06,Business,MarTech,North America,306.23,3674.76,22,Annual,0,,-42.0,51.58,49.1,12.8,2,30,0.0,Alice Chen,Silver,Credit Card,Paid Search
CUST-00655,09/10/2022,Free,LOGISTICS,Latin America,0,0.0,3,Annual,0,,45.0,51.87,22.6,19.9,13,541,0.0,N/A,Bronze,Invoice,Referral
